years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
,1,1700000.0,1.0,0,nan,1700000.0,1,analytics,venture,0
2.0,1,1000050.0,2.0,0,nan,1000050.0,8,mobile,angel,0
2.0,2,1200000.0,2.0,0,nan,200000.0,0,software,angel,0
2.0,1,,,0,nan,,1,software,angel,0
5.0,1,5844811.0,1.0,0,nan,5844811.0,0,software,venture,0
1.0,1,349999.0,1.0,0,nan,349999.0,0,software,angel,1
8.0,1,4000000.0,3.0,0,nan,4000000.0,2,mobile,series-a,0
10.0,6,56567194.0,4.0,0,"Robert Allen Shipp Joins 3VR Security, Inc. as Chief Executive Officer 3VR Introduces Compact Next Generation Hybrid Searchable Video Recorder Korean National Police Agency / SK Networks Study Shows 3VR Video Facial Recognition Most Accurate & Most Scalable Sammyâ€™s Woodfired Pizza Selects 3VR Searchable Surveillance Platform for Enhanced Customer Service and Retail Security 3VR Releases CrimeDex 2.0, Collaborative Criminal Data-Sharing Service with Secure Social Networking Capabilities 3VR Security Lands $12 Million in Funding to Expand Company's Leadership in Intelligent Video Surveillance Market 3VR Unveils Its Most Powerful and Versatile SmartRecorder to Dat Union Savings Put a Dent in Crime with 3VR Hilton Americas-Houston Deploys Intelligent Surveillance and Search from 3VR to Improve Security and Customer Service Members 1st Federal Credit Union Leverages Surveillance to Stop More Than 90% of Attempted Fraud",10000000.0,3,security,series-b,0
5.0,1,7000000.0,2.0,0,5th Finder named to Lead411's New York City Hot 125  5th Finger Acquired by Merkle,7000000.0,1,mobile,series-a,1
2.0,1,100000.0,1.0,0,nan,100000.0,1,web,angel,0
5.0,1,,,0,nan,,1,web,angel,0
3.0,2,10450000.0,2.0,0,nan,3250000.0,6,mobile,series-a,0
3.0,2,6758560.0,,0,nan,3000000.0,0,software,venture,0
6.0,1,1273000.0,,0,nan,1273000.0,0,software,venture,0
,1,20000000.0,,0,nan,20000000.0,1,analytics,venture,0
5.0,4,17800000.0,2.0,0,nan,600000.0,0,social,angel,0
9.0,1,10000000.0,3.0,0,AcademixDirect appoints Karen C. Francis as Chairman and CEO Academix Direct named in Lead411's Hottest Silicon Valley Companies list,10000000.0,1,web,series-a,0
14.0,2,50000000.0,1.0,0,nan,10000000.0,0,software,venture,0
4.0,1,250000.0,,0,nan,250000.0,0,mobile,venture,0
6.0,4,26000000.0,2.0,0,Announced hire of new CFO Hired Flint Brenton as President and CEO.  Hired Dan Maloney as Vice President of Marketing and Business Development.  Hired Rick Ainsworth as VP of Worldwide Sales,7000000.0,1,analytics,series-a,0
10.0,4,34072000.0,1.0,0,nan,3500000.0,3,web,series-a,0
5.0,1,3638201.0,,0,nan,3638201.0,0,software,venture,0
17.0,4,49122326.0,4.0,0,"I Love Rewards added Amin Lalji as Director, Information Technology & Chief Architect.",4700000.0,1,software,series-a,1
,1,24000000.0,,0,nan,24000000.0,0,software,series-b,0
2.0,1,1250000.0,2.0,0,Received $500k in Seed Round funding. Received $740k in Bridge Round Funding.,1250000.0,0,web,angel,0
13.0,1,85000000.0,1.0,0,nan,85000000.0,1,software,venture,0
,1,20000.0,,0,nan,20000.0,1,analytics,angel,0
1.0,1,1145200.0,,0,nan,1145200.0,0,software,venture,0
15.0,1,15600000.0,2.0,0,nan,15600000.0,4,software,venture,0
5.0,1,1510005.0,,0,nan,1510005.0,0,software,venture,0
,1,7823112.0,1.0,0,nan,7823112.0,0,software,venture,0
2.0,1,100000.0,1.0,0,nan,100000.0,0,ecommerce,venture,0
2.0,1,242500.0,,0,nan,242500.0,0,software,other,0
1.0,2,2000000.0,1.0,0,nan,,6,mobile,angel,0
4.0,3,7500000.0,3.0,0,Schwing! Ad.ly Wants To Sell One TechCrunch Tweet For $7k,500000.0,1,social,angel,0
1.0,1,4500000.0,,0,nan,4500000.0,1,security,series-a,1
1.0,1,50000.0,2.0,0,nan,50000.0,0,ecommerce,angel,0
1.0,1,56000.0,1.0,0,nan,56000.0,0,mobile,other,0
5.0,2,100000.0,1.0,0,nan,50000.0,0,search,angel,0
,1,1900000.0,,0,nan,1900000.0,1,security,series-a,0
1.0,1,100000.0,,0,nan,100000.0,0,web,angel,0
0.0,1,,3.0,0,Jeff Dossett hired as CEO Texas HALO Fund I invests in AdventureLink,,2,search,series-a,0
1.0,3,395000.0,,0,nan,70000.0,1,mobile,angel,0
,1,10250000.0,,0,nan,10250000.0,2,web,series-a,0
6.0,2,288000.0,1.0,0,nan,288000.0,1,games_video,angel,0
6.0,5,84952382.0,3.0,0,"Aerohive Networks, creators of the ""cooperative control"" wireless LAN (WLAN) access point (CC-AP), announced today that it has closed a $20 million Series B venture capital financing. Kleiner Perkins Caufield & Byers led the investment. Previous investors",4000000.0,2,mobile,series-a,1
4.0,1,,3.0,0,"Silicon Valley Pioneer Roger Sippl Joins Aerospike as a company advisor Benchmark proves Aerospike most consistent even when Hardware Fails  In-memory database pioneer Marie-Anne Neimat joins Aerospike as a company advisor.  New Aerospike 3 Lets Developers Push Hyper-scale Applications into the Database to Fuel Real-time Big Data-driven Consumer Interactions New YCSB Benchmark from Thumbtack Technology Joe Gottlieb to Join the Company as CEO GartnerMQ names Aerospike a Visionary for Operational Database Management Systems.
",,3,analytics,series-b,0
6.0,1,16000000.0,1.0,0,nan,16000000.0,0,web,series-a,0
9.0,3,5540000.0,3.0,0,nan,440000.0,2,web,series-a,0
,1,600000.0,1.0,0,nan,600000.0,3,ecommerce,angel,0
4.0,2,7500000.0,2.0,0,"Agari, Recipient of the JPMorgan Chase Hall of Innovation Award",2500000.0,5,security,series-a,0
9.0,1,7000000.0,,0,nan,7000000.0,3,software,series-b,0
7.0,1,250000.0,,0,nan,250000.0,1,software,angel,0
12.0,3,144500000.0,2.0,0,"Aicent Joins the Cisco Developer Network as Solution Developer and Completes Cisco Interoperability Verification Testing
",14300000.0,2,mobile,series-c+,1
1.0,1,,1.0,0,nan,,1,software,angel,0
1.0,1,1017026.0,,0,nan,1017026.0,0,analytics,venture,0
12.0,2,2000000.0,,0,nan,1000000.0,1,software,venture,0
11.0,4,46750000.0,3.0,0,AirTight Executive Joins Prestigious Panel of Mobile Security Experts at Interop New York 2010 ,10250000.0,4,security,series-a,0
1.0,1,1000000.0,,0,nan,1000000.0,0,web,angel,0
0.0,2,1500000.0,3.0,0,"Added Hailin Wu as founding engineer
Added Calvin Low as founding engineer",,1,games_video,angel,0
6.0,1,8000000.0,,0,nan,8000000.0,3,software,series-b,1
5.0,5,11637424.0,2.0,0,nan,5000000.0,1,analytics,series-a,0
6.0,2,27000000.0,2.0,0,AlertEnterprise recognized as one of the Hottest San Francisco Companies by Lead411 ,8000000.0,1,security,series-a,0
9.0,4,43772394.0,1.0,0,nan,7500000.0,0,software,other,0
7.0,1,450000.0,,0,nan,450000.0,0,ecommerce,venture,0
11.0,1,7920000.0,1.0,0,nan,7920000.0,4,software,venture,0
1.0,1,1525000.0,1.0,0,nan,1525000.0,2,mobile,series-a,0
2.0,2,2750000.0,1.0,0,nan nan,2000000.0,0,mobile,series-a,0
3.0,2,23500000.0,3.0,0,Alpine Data Labs Appoints Bruno Aziza as Chief Marketing Officer,7500000.0,4,analytics,series-a,0
4.0,1,1260000.0,2.0,0,nan,1260000.0,2,mobile,angel,0
3.0,2,18000000.0,3.0,0,"Minority Investment from the New $353M Growth Fund will Fuel Growth of Emerging Leader in Agile and Geo-spatial Business Intelligence Software Alteryx strengthens field leadership with Marc Gemassmer and Mike Regan Alteryx accelerates decision making with Strategic Analytics 7.0 Alteryx hires Analytics Platform leader and former Oracle executive Rick Schultz as Senior Vice President, Marketing Alteryx Honored as 2013 Red Herring Top 100 North America Tech Startup Alteryx Appoints Former Quest Software CEO Doug Garn to Board of Directors",6000000.0,1,analytics,series-a,0
,1,6700000.0,,0,nan,6700000.0,1,mobile,venture,0
9.0,4,60000000.0,1.0,0,nan,13000000.0,3,mobile,series-a,0
5.0,1,1500000.0,,0,nan,1500000.0,1,software,series-a,0
8.0,1,45000.0,,0,nan,45000.0,0,software,angel,0
2.0,1,1399996.0,1.0,0,American Giant launched with sweatshirts in five silhouettes ,1399996.0,0,ecommerce,venture,0
2.0,1,2000000.0,1.0,0,nan,2000000.0,4,analytics,series-a,1
,1,1318297.0,,0,nan,1318297.0,1,analytics,angel,0
4.0,1,,1.0,0,nan,,1,software,series-a,0
3.0,2,4400000.0,3.0,0,"Anametrix raises $4.4 million from TVC Capital to expand its real-time digital analytics platform Anametrix Asserts Leadership in Marketing Analytics and Triples Client Roster Through Q3 2013
 Anametrix Asserts Leadership in Marketing Analytics and Triples Client Roster Through Q3 2013
 Anametrix Introduces Industryï¿?s First Real-Time, Multichannel Analytics for Media and Publishing
Anametrix for News and Entertainment Media Delivers Powerful Decision-Support Capabilities to Help Media Companies Increase Audiences and Revenue. ",,1,analytics,venture,1
,1,100000.0,,0,nan,100000.0,1,analytics,angel,0
